genre,question_html,choices_html,score_multiplier
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>を<ruby>選<rt>えら</rt></ruby>びましょう。<br /><span class='quiz-highlight'>わたしはゲームで<ruby>遊<rt>あそ</rt></ruby>ぶの＿<ruby>好<rt>す</rt></ruby>きです。</span></div>","<ul class='mcq-choices'><li data-correct='1'>が</li><li data-correct='0'>に</li><li data-correct='0'>と</li><li data-correct='0'>や</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>さっき、わたしと<ruby>友達<rt>ともだち</rt></ruby>は<ruby>先生<rt>せんせい</rt></ruby>＿プレゼントをあげた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>に</li><li data-correct='0'>を</li><li data-correct='0'>が</li><li data-correct='0'>も</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>さっき、わたしと<ruby>友達<rt>ともだち</rt></ruby>は<ruby>先生<rt>せんせい</rt></ruby>にプレゼント＿あげた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>を</li><li data-correct='0'>に</li><li data-correct='0'>が</li><li data-correct='0'>も</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>ノート＿<ruby>鉛筆<rt>えんぴつ</rt></ruby>で<ruby>名前<rt>なまえ</rt></ruby>を<ruby>書<rt>か</rt></ruby>いた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>に</li><li data-correct='0'>を</li><li data-correct='0'>が</li><li data-correct='0'>で</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>ノートに<ruby>鉛筆<rt>えんぴつ</rt></ruby>＿<ruby>名前<rt>なまえ</rt></ruby>を<ruby>書<rt>か</rt></ruby>いた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>で</li><li data-correct='0'>を</li><li data-correct='0'>が</li><li data-correct='0'>に</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>ノートに<ruby>鉛筆<rt>えんぴつ</rt></ruby>で<ruby>名前<rt>なまえ</rt></ruby>＿<ruby>書<rt>か</rt></ruby>いた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>を</li><li data-correct='0'>で</li><li data-correct='0'>が</li><li data-correct='0'>に</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>りんご＿バナナを<ruby>食<rt>た</rt></ruby>べた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>と</li><li data-correct='0'>に</li><li data-correct='0'>で</li><li data-correct='0'>が</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>りんごもバナナ＿<ruby>食<rt>た</rt></ruby>べた。</span></div>","<ul class='mcq-choices'><li data-correct='1'>も</li><li data-correct='0'>に</li><li data-correct='0'>で</li><li data-correct='0'>が</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>きのうは<ruby>暑<rt>あつ</rt></ruby>かったのに、<ruby>今日<rt>きょう</rt></ruby>＿<ruby>寒<rt>さむ</rt></ruby>い。</span></div>","<ul class='mcq-choices'><li data-correct='1'>は</li><li data-correct='0'>に</li><li data-correct='0'>も</li><li data-correct='0'>が</li></ul>",1
格助詞・副助詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>きのうは<ruby>暑<rt>あつ</rt></ruby>かったし、<ruby>今日<rt>きょう</rt></ruby>＿<ruby>暑<rt>あつ</rt></ruby>い。</span></div>","<ul class='mcq-choices'><li data-correct='1'>も</li><li data-correct='0'>に</li><li data-correct='0'>を</li><li data-correct='0'>が</li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>鉛筆<rt>えんぴつ</rt></ruby>を12＿<ruby>買<rt>か</rt></ruby>った。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>人<rt>にん</rt></ruby></li><li data-correct='0'><ruby>匹<rt>ひき</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>私<rt>わたし</rt></ruby>のクラスは<ruby>全員<rt>ぜんいん</rt></ruby>で32＿です。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>人<rt>にん</rt></ruby></li><li data-correct='0'><ruby>匹<rt>ひき</rt></ruby></li><li data-correct='0'><ruby>頭<rt>とう</rt></ruby></li><li data-correct='0'><ruby>羽<rt>わ</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>犬<rt>いぬ</rt></ruby>が4＿も<ruby>生<rt>う</rt></ruby>まれた。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>匹<rt>ひき</rt></ruby></li><li data-correct='0'><ruby>人<rt>にん</rt></ruby></li><li data-correct='0'><ruby>頭<rt>とう</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>黒<rt>くろ</rt></ruby>い<ruby>猫<rt>ねこ</rt></ruby>が2＿<ruby>歩<rt>ある</rt></ruby>いている。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>匹<rt>ひき</rt></ruby></li><li data-correct='0'><ruby>羽<rt>わ</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>頭<rt>とう</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>にんじんを1＿だけ<ruby>買<rt>か</rt></ruby>った。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>個<rt>こ</rt></ruby></li><li data-correct='0'><ruby>膳<rt>ぜん</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>絵本<rt>えほん</rt></ruby>を10＿<ruby>借<rt>か</rt></ruby>りた。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>冊<rt>さつ</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>個<rt>こ</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>サンダルが2＿ある。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>足<rt>そく</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>台<rt>だい</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>お<ruby>箸<rt>はし</rt></ruby>を4＿<ruby>配<rt>くば</rt></ruby>った。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>膳<rt>ぜん</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>個<rt>こ</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>おばあちゃんはスマートフォンを2＿も<ruby>持<rt>も</rt></ruby>っている。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>台<rt>だい</rt></ruby></li><li data-correct='0'><ruby>冊<rt>さつ</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>ノートを3＿プレゼントされた。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>冊<rt>さつ</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>個<rt>こ</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>10＿<ruby>入<rt>い</rt></ruby>りの<ruby>卵<rt>たまご</rt></ruby>パックを<ruby>買<rt>か</rt></ruby>った。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>個<rt>こ</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>杯<rt>はい</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>目<rt>め</rt></ruby>の<ruby>前<rt>まえ</rt></ruby>に<ruby>車<rt>くるま</rt></ruby>が3＿<ruby>停<rt>と</rt></ruby>まっている。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>台<rt>だい</rt></ruby></li><li data-correct='0'><ruby>匹<rt>ひき</rt></ruby></li><li data-correct='0'><ruby>頭<rt>とう</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>この<ruby>広場<rt>ひろば</rt></ruby>にはハトが100＿<ruby>来<rt>く</rt></ruby>ることもあるらしい。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>羽<rt>わ</rt></ruby></li><li data-correct='0'><ruby>匹<rt>ひき</rt></ruby></li><li data-correct='0'><ruby>頭<rt>とう</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>この<ruby>公園<rt>こうえん</rt></ruby>にはクジャクが3＿いる。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>羽<rt>わ</rt></ruby></li><li data-correct='0'><ruby>匹<rt>ひき</rt></ruby></li><li data-correct='0'><ruby>頭<rt>とう</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>ホタル<rt>ほたる</rt></ruby>が2＿<ruby>飛<rt>と</rt></ruby>んでいて、<ruby>光<rt>ひかり</rt></ruby>がとてもきれいです。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>匹<rt>ひき</rt></ruby></li><li data-correct='0'><ruby>羽<rt>わ</rt></ruby></li><li data-correct='0'><ruby>頭<rt>とう</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>このレースでは18＿の<ruby>馬<rt>うま</rt></ruby>が<ruby>走<rt>はし</rt></ruby>って<ruby>一番<rt>いちばん</rt></ruby>を<ruby>決<rt>き</rt></ruby>める。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>頭<rt>とう</rt></ruby></li><li data-correct='0'><ruby>匹<rt>ひき</rt></ruby></li><li data-correct='0'><ruby>羽<rt>わ</rt></ruby></li><li data-correct='0'><ruby>台<rt>だい</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>喉<rt>のど</rt></ruby>が<ruby>渇<rt>かわ</rt></ruby>いていたので、3＿もお<ruby>水<rt>みず</rt></ruby>を<ruby>飲<rt>の</rt></ruby>んだ。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>杯<rt>はい</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>台<rt>だい</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'><ruby>楽<rt>たの</rt></ruby>しくて、<ruby>絵<rt>え</rt></ruby>を10＿も<ruby>描<rt>か</rt></ruby>いた。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>冊<rt>さつ</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>個<rt>こ</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>このショートケーキには、いちごが8＿<ruby>乗<rt>の</rt></ruby>っている。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>個<rt>こ</rt></ruby></li><li data-correct='0'><ruby>冊<rt>さつ</rt></ruby></li><li data-correct='0'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>500＿<ruby>入<rt>い</rt></ruby>りの<ruby>紙<rt>かみ</rt></ruby>を<ruby>買<rt>か</rt></ruby>った。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>枚<rt>まい</rt></ruby></li><li data-correct='0'><ruby>本<rt>ほん</rt></ruby></li><li data-correct='0'><ruby>冊<rt>さつ</rt></ruby></li><li data-correct='0'><ruby>個<rt>こ</rt></ruby></li></ul>",1
助数詞,"<div class='import-question'>＿＿にあてはまる<ruby>言葉<rt>ことば</rt></ruby>をえらびましょう。<br /><span class='quiz-highlight'>お<ruby>客様<rt>きゃくさま</rt></ruby>は何＿様ですか。</span></div>","<ul class='mcq-choices'><li data-correct='1'><ruby>名<rt>めい</rt></ruby></li><li data-correct='0'><ruby>羽<rt>わ</rt></ruby></li><li data-correct='0'><ruby>匹<rt>ひき</rt></ruby></li><li data-correct='0'><ruby>杯<rt>はい</rt></ruby></li></ul>",1
色,"<div class='import-question'>つぎの<ruby>色<rt>いろ</rt></ruby>をみて，なまえをえらびましょう。<div style='margin-top:8px;width:100%;height:40px;border-radius:10px;background:#ff0000;'></div></div>","<ul class='mcq-choices'><li data-correct='1'>あか</li><li data-correct='0'>あお</li><li data-correct='0'>きいろ</li><li data-correct='0'>みどり</li></ul>",1
色,"<div class='import-question'>つぎの<ruby>色<rt>いろ</rt></ruby>をみて，なまえをえらびましょう。<div style='margin-top:8px;width:100%;height:40px;border-radius:10px;background:#0000ff;'></div></div>","<ul class='mcq-choices'><li data-correct='1'>あお</li><li data-correct='0'>あか</li><li data-correct='0'>きいろ</li><li data-correct='0'>みどり</li></ul>",1
色,"<div class='import-question'>つぎの<ruby>色<rt>いろ</rt></ruby>をみて，なまえをえらびましょう。<div style='margin-top:8px;width:100%;height:40px;border-radius:10px;background:#00ff00;'></div></div>","<ul class='mcq-choices'><li data-correct='1'>みどり</li><li data-correct='0'>あか</li><li data-correct='0'>あお</li><li data-correct='0'>きいろ</li></ul>",1
色,"<div class='import-question'>つぎの<ruby>色<rt>いろ</rt></ruby>をみて，なまえをえらびましょう。<div style='margin-top:8px;width:100%;height:40px;border-radius:10px;background:#ffff00;'></div></div>","<ul class='mcq-choices'><li data-correct='1'>きいろ</li><li data-correct='0'>あか</li><li data-correct='0'>あお</li><li data-correct='0'>みどり</li></ul>",1
色,"<div class='import-question'>「ピンク」というなまえの<ruby>色<rt>いろ</rt></ruby>をえらびましょう。</div>","<ul class='mcq-choices'><li data-correct='1'><div style='width:100%;height:30px;border-radius:10px;background:#ffc0cb;'></div></li><li data-correct='0'><div style='width:100%;height:30px;border-radius:10px;background:#ff0000;'></div></li><li data-correct='0'><div style='width:100%;height:30px;border-radius:10px;background:#0000ff;'></div></li><li data-correct='0'><div style='width:100%;height:30px;border-radius:10px;background:#00ff00;'></div></li></ul>",1
色,"<div class='import-question'>つぎの<ruby>色<rt>いろ</rt></ruby>をみて，なまえをえらびましょう。<div style='margin-top:8px;width:100%;height:40px;border-radius:10px;background:#800080;'></div></div>","<ul class='mcq-choices'><li data-correct='1'>むらさき</li><li data-correct='0'>あか</li><li data-correct='0'>あお</li><li data-correct='0'>きいろ</li></ul>",1
色,"<div class='import-question'>つぎの<ruby>色<rt>いろ</rt></ruby>をみて，なまえをえらびましょう。<div style='margin-top:8px;width:100%;height:40px;border-radius:10px;background:#8b4513;'></div></div>","<ul class='mcq-choices'><li data-correct='1'>ちゃいろ</li><li data-correct='0'>みどり</li><li data-correct='0'>くろ</li><li data-correct='0'>しろ</li></ul>",1
色,"<div class='import-question'>つぎの<ruby>色<rt>いろ</rt></ruby>をみて，なまえをえらびましょう。<div style='margin-top:8px;width:100%;height:40px;border-radius:10px;background:#000000;'></div></div>","<ul class='mcq-choices'><li data-correct='1'>くろ</li><li data-correct='0'>しろ</li><li data-correct='0'>あか</li><li data-correct='0'>あお</li></ul>",1
